n_step,ijk,num_load,A1,A2,A3,A4,Tup,Tmid,Tdown,23x,23y,23z,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
13,1,1,0.175,0.175,0.175,0.175,0,0,0,-6.044812e+01,-3.012861e+01,9.632214e+01,8.038885e+01,7.790940e+01,     0,6.097620e+01,     0,5.470928e+01,4.669753e+01,1.051562e+02,9.071043e+01,9.936159e+01,9.805794e+01,8.907427e+01,1.033683e+02,4.564861e+01,5.376857e+01,4.123924e+01,1.839108e+01,1.619027e+01,1.854334e+01,1.878442e+01,1.639045e+01,1.823366e+01,     0,1.112980e+01,1.116553e+01,9.637583e+00,1.283799e+01,1.152946e+01,1.218165e+02,1.697197e+02,1.696701e+02,1.216445e+02
13,1,2,0.2375,0.1125,0.2375,0.2375,0,0,0,-7.297684e+01,-3.074108e+01,1.001421e+02,2.314930e+02,1.872944e+02,     0,1.311958e+02,     0,1.783180e+02,1.426707e+02,3.713571e+02,3.361813e+02,3.831039e+02,1.718511e+02,1.639610e+02,2.193788e+02,7.330525e+01,7.880829e+01,4.949358e+01,2.900753e+01,3.694521e+01,5.509447e+01,4.340954e+01,4.938653e+01,7.295056e+01,     0,     0,1.430276e+02,     0,1.541171e+02,7.907571e+01,2.919049e+02,4.383062e+02,4.509111e+02,2.919042e+02
18,1,3,0.1125,0.2375,0.1125,0.1125,0,0,0,-6.757094e+00,-4.240814e+01,-1.532188e+01,2.243614e+00,1.320536e+00,     0,1.161371e+00,     0,3.931661e-01,4.276801e-01,7.247348e-01,9.581418e-01,9.580690e-01,1.983853e+00,2.004388e+00,2.098882e+00,1.173356e+00,1.055274e+00,8.917552e-01,2.179286e-01,1.413662e-01,1.960660e-01,4.937555e-01,3.140258e-01,1.825030e-01,     0,5.805005e-01,     0,6.537625e-01,     0,     0,2.026156e+00,2.633385e+00,2.675202e+00,1.849007e+00
21,1,4,0.14375,0.14375,0.20625,0.14375,0,0,0,-4.724766e+01,-3.345932e+01,8.751663e+01,3.299840e+01,2.690318e+01,     0,2.139481e+01,     0,2.356982e+01,2.187122e+01,4.265392e+01,4.094680e+01,4.470852e+01,2.318813e+01,2.227161e+01,2.786980e+01,1.157197e+01,1.159121e+01,1.081733e+01,4.000476e+00,4.491969e+00,6.655307e+00,4.834038e+00,5.386673e+00,8.338259e+00,     0,     0,1.313611e+01,     0,1.235991e+01,6.766365e+00,4.227415e+01,5.636392e+01,5.823356e+01,4.344070e+01
11,1,5,0.26875,0.26875,0.08125,0.26875,0,0,0,-7.681543e+01,-2.885980e+01,1.001415e+02,2.466703e+02,2.799861e+02,     0,2.256239e+02,     0,9.288897e+01,8.875640e+01,2.918331e+02,2.058406e+02,2.008878e+02,5.512482e+02,4.723774e+02,5.088365e+02,1.758610e+02,2.423693e+02,1.984260e+02,1.111446e+02,7.079509e+01,5.872770e+01,7.769380e+01,4.841091e+01,2.126427e+01,     0,2.503563e+02,     0,2.306104e+02,     0,     0,3.651714e+02,6.044469e+02,5.777880e+02,3.701603e+02
14,1,6,0.20625,0.08125,0.14375,0.20625,0,0,0,-4.757121e+01,-3.420764e+01,7.978113e+01,2.442501e+02,1.935731e+02,     0,1.370282e+02,     0,1.685917e+02,1.567374e+02,3.495841e+02,3.513704e+02,3.615466e+02,2.162938e+02,2.204901e+02,2.324640e+02,1.012510e+02,9.885166e+01,9.043743e+01,2.957647e+01,4.320477e+01,4.479769e+01,4.171608e+01,4.821495e+01,4.973168e+01,     0,     0,1.196043e+02,     0,1.333368e+02,8.779110e+01,3.538568e+02,4.745056e+02,4.759946e+02,3.510202e+02
30,2,7,0.08125,0.20625,0.26875,0.08125,0,0,0,-1.545593e+02,-3.797705e+01,-5.184646e+01,7.775929e-01,1.934319e+00,     0,6.107641e+00,     0,1.821981e+00,1.187553e+00,2.313950e-01,2.256249e+00,1.072535e+00,1.071751e+00,2.395127e-01,2.379799e+00,1.417216e+00,4.120539e-01,5.953307e+00,     0,     0,9.298187e-01,4.263763e-01,     0,5.044871e+00,     0,4.158183e-01,1.069388e+00,2.111031e-01,1.278989e-01,5.490892e+00,8.790647e-01,1.035894e+00,1.741485e+00,7.649512e-01
10,1,8,0.096875,0.128125,0.128125,0.096875,0,0,0,-1.868066e+01,-3.795636e+01,4.483630e+01,5.626583e+00,4.792089e+00,     0,3.971824e+00,     0,3.045538e+00,3.040326e+00,5.009918e+00,5.534361e+00,5.531019e+00,5.256910e+00,5.497576e+00,5.612693e+00,3.290588e+00,3.078100e+00,3.014080e+00,7.058168e-01,8.045232e-01,8.550684e-01,9.571305e-01,9.591744e-01,9.458622e-01,     0,5.075391e-01,5.387661e-01,5.142309e-01,5.080993e-01,4.991491e-01,7.859575e+00,9.536433e+00,9.691414e+00,7.774058e+00
14,1,9,0.221875,0.253125,0.253125,0.221875,0,0,0,-1.077931e+02,-2.023088e+01,1.168090e+02,7.110429e+01,6.936335e+01,     0,5.598922e+01,     0,5.454059e+01,3.892937e+01,1.094581e+02,7.458398e+01,9.316109e+01,9.279068e+01,7.383705e+01,1.085709e+02,3.846260e+01,5.412354e+01,2.842126e+01,2.426141e+01,1.602701e+01,2.267427e+01,2.289463e+01,1.620042e+01,2.405077e+01,     0,1.276723e+01,1.040849e+01,9.779888e+00,1.363029e+01,8.040403e+00,9.549576e+01,1.622318e+02,1.620839e+02,9.527976e+01
24,1,10,0.284375,0.065625,0.190625,0.284375,0,0,0,-7.343912e+01,-3.108139e+01,9.525541e+01,3.706060e+02,2.922212e+02,     0,1.807915e+02,     0,2.746446e+02,2.146729e+02,6.308320e+02,5.946889e+02,6.525097e+02,3.273202e+02,3.287576e+02,3.886547e+02,1.329229e+02,1.394270e+02,9.019223e+01,4.552657e+01,7.488367e+01,8.696127e+01,8.146649e+01,9.234333e+01,1.035538e+02,     0,     0,2.525994e+02,     0,2.935566e+02,1.683411e+02,5.046106e+02,7.682698e+02,7.749494e+02,4.883522e+02
13,1,11,0.159375,0.190625,0.065625,0.159375,0,0,0,-3.602592e+01,-4.026240e+01,6.866479e+01,1.204011e+02,1.390716e+02,     0,1.191228e+02,     0,4.329205e+01,4.967371e+01,1.138542e+02,9.851928e+01,9.049978e+01,2.272495e+02,2.152112e+02,2.009139e+02,1.052665e+02,1.101173e+02,1.144736e+02,3.684037e+01,2.414924e+01,1.792272e+01,2.602878e+01,1.692490e+01,4.622028e+00,     0,9.090515e+01,     0,9.121606e+01,     0,     0,2.069570e+02,2.673577e+02,2.571886e+02,2.017167e+02
13,1,12,0.128125,0.096875,0.284375,0.128125,0,0,0,-3.098345e+01,-4.119193e+01,6.804268e+01,2.591974e+01,1.672822e+01,     0,1.381575e+01,     0,1.699454e+01,1.908956e+01,3.264926e+01,3.437761e+01,3.627419e+01,7.290450e+00,6.847137e+00,1.015762e+01,4.111979e+00,2.508392e+00,3.221450e+00,1.113830e-01,6.672090e-01,4.495979e+00,1.646762e+00,2.608816e+00,6.938072e+00,     0,     0,2.037482e+01,     0,1.692588e+01,6.772679e+00,2.386808e+01,3.107051e+01,3.480962e+01,2.717492e+01
11,0,13,0.253125,0.221875,0.159375,0.253125,0,0,0,-1.552237e+02,-2.221205e+01,1.064166e+02,3.571051e+02,3.255538e+02,     0,1.558655e+02,     0,1.766663e+02,1.671367e+02,3.290107e+02,8.447230e+01,3.711996e+02,3.354115e+02,1.544088e+02,4.033362e+02,1.330311e+02,3.542489e+02,1.514200e+02,3.379165e+01,     0,7.261112e+01,1.244211e+02,2.545545e+01,5.642591e+01,     0,1.767527e+02,6.622019e+01,9.079417e+01,1.563521e+02,7.594930e+01,2.889788e+02,4.898132e+02,5.793626e+02,4.519209e+02
15,1,14,0.190625,0.159375,0.096875,0.190625,0,0,0,-4.871665e+01,-3.571474e+01,8.218516e+01,1.582873e+02,1.853666e+02,     0,1.476925e+02,     0,7.837704e+01,8.029825e+01,1.824974e+02,1.652195e+02,1.621865e+02,2.796851e+02,2.647114e+02,2.651768e+02,1.225174e+02,1.356161e+02,1.288492e+02,4.276409e+01,3.606531e+01,3.133404e+01,3.781937e+01,3.282348e+01,2.191379e+01,     0,9.387410e+01,     0,8.663545e+01,     0,7.808265e+00,2.731636e+02,3.695133e+02,3.656722e+02,2.733926e+02
21,1,15,0.065625,0.284375,0.221875,0.065625,0,0,0,-1.115498e+02,-5.850351e+01,-1.758040e+02,1.746556e+00,4.490661e-01,     0,3.276919e-01,     0,2.552182e-01,2.010065e-01,     0,3.879242e-01,5.236958e-01,4.136384e-01,3.332968e-01,6.777714e-01,3.899521e-01,3.519771e-01,1.571208e-01,     0,4.806452e-02,1.110709e-01,5.371855e-01,1.588735e-01,2.155148e-01,     0,     0,1.310265e-01,6.772608e-02,6.993135e-02,     0,5.097225e-01,9.549806e-01,9.182797e-01,4.723725e-01
28,1,16,0.0734375,0.1671875,0.2609375,0.0734375,0,0,0,-6.055677e+01,-4.771090e+01,-1.418489e+02,1.309631e+00,3.828418e-01,     0,3.211186e-01,     0,2.822623e-01,2.952597e-01,     0,4.633111e-01,6.473972e-01,1.820090e-01,2.000730e-01,4.684517e-01,1.263445e-01,1.480218e-01,9.793800e-02,     0,1.878293e-02,1.195201e-01,1.665203e-01,1.358677e-01,1.996672e-01,     0,     0,1.367507e-01,     0,1.384591e-01,5.139442e-02,4.628600e-01,7.256403e-01,8.488255e-01,4.906260e-01
18,1,17,0.1984375,0.2921875,0.1359375,0.1984375,0,0,0,-6.664843e+01,-3.084630e+01,1.018663e+02,9.377894e+01,9.447401e+01,     0,8.105059e+01,     0,3.081058e+01,2.720444e+01,9.591386e+01,6.356084e+01,6.146219e+01,1.795987e+02,1.542593e+02,1.659305e+02,7.243952e+01,8.563922e+01,6.588286e+01,3.950363e+01,2.163878e+01,1.835436e+01,2.747978e+01,1.461282e+01,6.639333e+00,     0,6.422632e+01,     0,6.467617e+01,     0,     0,1.350062e+02,2.048513e+02,1.929156e+02,1.300957e+02
8,1,18,0.2609375,0.1046875,0.0734375,0.2609375,0,0,0,-5.897161e+01,-3.573633e+01,8.439948e+01,3.179141e+02,3.273883e+02,     0,2.354220e+02,     0,1.762579e+02,1.818937e+02,4.591277e+02,4.467292e+02,4.262798e+02,5.177716e+02,5.158273e+02,5.098000e+02,1.949251e+02,2.094151e+02,2.124205e+02,6.874384e+01,8.762832e+01,7.001621e+01,7.520459e+01,8.569687e+01,4.955609e+01,     0,1.676313e+02,6.969877e+01,1.424460e+02,9.114956e+01,8.780577e+01,5.372773e+02,7.737004e+02,7.689936e+02,5.396710e+02
20,1,19,0.1359375,0.2296875,0.1984375,0.1359375,0,0,0,-1.410586e+01,-4.227820e+01,-2.744078e+01,1.659870e+00,6.973717e-01,     0,6.004854e-01,     0,4.350282e-01,3.823837e-01,3.678793e-01,7.225523e-01,9.142738e-01,7.437202e-01,7.380753e-01,1.079784e+00,4.850024e-01,5.025358e-01,2.913701e-01,2.745463e-03,6.058902e-02,1.869164e-01,3.474671e-01,2.537908e-01,2.981090e-01,     0,4.599517e-02,     0,7.108351e-02,4.307734e-02,3.544318e-02,1.018474e+00,1.462272e+00,1.612127e+00,9.163493e-01
12,1,20,0.1671875,0.0734375,0.1671875,0.1671875,0,0,0,-3.732611e+01,-3.326629e+01,7.274347e+01,1.735675e+02,1.330266e+02,     0,9.938900e+01,     0,1.228673e+02,1.179719e+02,2.339417e+02,2.413424e+02,2.509356e+02,1.189768e+02,1.213947e+02,1.346349e+02,6.197769e+01,5.466899e+01,5.563079e+01,1.314419e+01,2.155177e+01,2.844536e+01,2.196430e+01,2.796741e+01,3.787584e+01,     0,     0,9.770027e+01,     0,9.912814e+01,5.750537e+01,2.332269e+02,2.991145e+02,3.067362e+02,2.370552e+02
15,1,21,0.2921875,0.1984375,0.2921875,0.2921875,0,0,0,-1.212825e+02,-2.217547e+01,1.123412e+02,2.299539e+02,1.948552e+02,     0,1.396870e+02,     0,2.213538e+02,1.482068e+02,4.476003e+02,3.147743e+02,4.133024e+02,2.183061e+02,1.767963e+02,3.057328e+02,8.104068e+01,1.276689e+02,4.004537e+01,6.374968e+01,4.804956e+01,8.335316e+01,7.209787e+01,6.140247e+01,9.623709e+01,     0,     0,1.185437e+02,     0,1.626278e+02,7.711423e+01,2.878081e+02,5.332657e+02,5.289421e+02,2.749541e+02
14,1,22,0.2296875,0.1359375,0.2296875,0.2296875,0,0,0,-7.578629e+01,-2.952335e+01,1.026559e+02,1.967538e+02,1.627262e+02,     0,1.166624e+02,     0,1.527792e+02,1.223266e+02,3.115106e+02,2.736108e+02,3.139194e+02,1.602524e+02,1.491559e+02,1.993726e+02,6.760140e+01,7.746996e+01,4.917083e+01,3.075506e+01,3.413907e+01,4.907058e+01,4.000191e+01,4.216737e+01,6.025299e+01,     0,     0,1.022303e+02,     0,1.126456e+02,6.077489e+01,2.552324e+02,3.845483e+02,3.918049e+02,2.546330e+02
16,1,23,0.1046875,0.2609375,0.1046875,0.1046875,0,0,0,-1.260441e+01,-3.937843e+01,-6.183258e+01,1.795062e+00,8.583964e-01,     0,7.733326e-01,     0,2.393199e-01,2.874755e-01,3.091246e-01,5.961085e-01,6.496260e-01,1.248532e+00,1.292169e+00,1.420193e+00,7.669556e-01,6.941834e-01,5.607595e-01,9.362022e-02,5.712351e-02,1.336799e-01,3.851933e-01,2.278803e-01,1.408944e-01,     0,3.892486e-01,     0,4.371595e-01,     0,     0,1.302128e+00,1.706596e+00,1.790316e+00,1.190166e+00
18,1,24,0.0890625,0.0890625,0.1828125,0.0890625,0,0,0,-9.877843e+00,-4.736251e+01,6.700316e+00,3.328911e+00,1.926642e+00,     0,1.576380e+00,     0,1.641880e+00,1.756904e+00,2.472982e+00,3.272277e+00,3.401902e+00,1.143226e+00,1.335026e+00,1.684664e+00,8.645757e-01,5.667772e-01,7.238829e-01,5.481589e-02,1.861446e-01,4.181979e-01,2.967976e-01,3.960805e-01,6.574191e-01,     0,     0,1.334416e+00,     0,1.119406e+00,5.400514e-01,2.997512e+00,3.681729e+00,4.052398e+00,3.150240e+00
13,1,25,0.2140625,0.2140625,0.0578125,0.2140625,0,0,0,-5.123633e+01,-3.908510e+01,8.149367e+01,1.984166e+02,2.323757e+02,     0,1.922760e+02,     0,6.894162e+01,7.891874e+01,2.050524e+02,1.701912e+02,1.583689e+02,4.120941e+02,3.798924e+02,3.667490e+02,1.566127e+02,1.808740e+02,1.832602e+02,7.039037e+01,4.736537e+01,3.597862e+01,4.904907e+01,3.304447e+01,8.746430e+00,     0,1.816381e+02,     0,1.763583e+02,     0,     0,3.259320e+02,4.620733e+02,4.437468e+02,3.220394e+02
9,1,26,0.2765625,0.1515625,0.1203125,0.2765625,0,0,0,-7.765551e+01,-2.845859e+01,9.950330e+01,2.903497e+02,2.998483e+02,     0,2.124398e+02,     0,1.814700e+02,1.566709e+02,4.434254e+02,3.778188e+02,3.921716e+02,4.821084e+02,4.414285e+02,4.956336e+02,1.729639e+02,2.166406e+02,1.670610e+02,7.971117e+01,8.303226e+01,7.987514e+01,8.537389e+01,8.005364e+01,6.045846e+01,     0,1.447437e+02,5.076753e+01,1.164812e+02,7.187355e+01,7.052629e+01,4.640194e+02,7.235652e+02,7.194152e+02,4.675551e+02
18,1,27,0.1515625,0.2765625,0.2453125,0.1515625,0,0,0,-1.999013e+01,-3.305995e+01,-4.399058e+01,1.548850e+00,5.023373e-01,     0,4.706270e-01,     0,4.107757e-01,3.412395e-01,2.431899e-01,5.556385e-01,7.928406e-01,5.309773e-01,4.637444e-01,8.544316e-01,3.167172e-01,3.939584e-01,1.663067e-01,     0,3.116555e-02,1.684902e-01,3.185599e-01,2.143806e-01,2.823124e-01,     0,     0,     0,2.333024e-02,1.122936e-01,4.932585e-02,7.610028e-01,1.186678e+00,1.308309e+00,6.409330e-01
12,1,28,0.1203125,0.1203125,0.0890625,0.1203125,0,0,0,-2.668194e+01,-3.414521e+01,5.971287e+01,7.534324e+01,8.814308e+01,     0,7.428459e+01,     0,4.138397e+01,4.411189e+01,7.912810e+01,7.801343e+01,7.524030e+01,1.152017e+02,1.146741e+02,1.098278e+02,6.459461e+01,6.447010e+01,6.632042e+01,1.561020e+01,1.403306e+01,1.207132e+01,1.447938e+01,1.356011e+01,1.018254e+01,     0,3.235632e+01,     0,3.119457e+01,     0,2.294072e+00,1.374535e+02,1.663069e+02,1.651130e+02,1.366617e+02
30,2,29,0.2453125,0.2453125,0.2140625,0.2453125,0,0,0,-2.350122e+01,-3.450884e+01,-4.721192e+01,4.749277e+02,2.063030e+02,     0,1.485150e+02,     0,1.332721e+02,1.810739e+02,3.217327e+02,2.627905e+02,4.722534e+02,2.537278e+02,2.148415e+02,3.499107e+02,6.555482e+01,1.175338e+02,5.221617e+01,1.419314e+02,     0,8.215045e+01,     0,4.665966e+01,1.160558e+02,     0,     0,     0,     0,9.513453e+01,1.052037e+02,3.943826e+02,5.142456e+02,6.475319e+02,3.978523e+02
12,1,30,0.1828125,0.0578125,0.2765625,0.1828125,0,0,0,-4.108705e+01,-3.701871e+01,7.635138e+01,1.874086e+02,1.288496e+02,     0,9.759444e+01,     0,1.302189e+02,1.265942e+02,2.649161e+02,2.741153e+02,2.950475e+02,7.179607e+01,7.010203e+01,9.459852e+01,3.769691e+01,2.587128e+01,2.323556e+01,1.078014e+00,8.855460e+00,3.147417e+01,1.666997e+01,2.567056e+01,5.405274e+01,     0,     0,1.635265e+02,     0,1.510954e+02,6.572788e+01,1.930809e+02,2.602221e+02,2.831604e+02,2.081947e+02
