drive_1,drive_2,drive_3,drive_4,T_TOP,T_MID,T_END,Z23
0.09,0.09,0.09,0.09,90,90,90,46.9927362809707
0.09,0.09,0.09,0.09,90,90,110,47.0129461248285
0.09,0.09,0.09,0.09,90,110,90,46.9676441173264
0.09,0.09,0.09,0.09,90,110,110,46.986647023696
0.09,0.09,0.09,0.09,110,90,90,46.7753958464413
0.09,0.09,0.09,0.09,110,90,110,46.7948996926182
0.09,0.09,0.09,0.09,110,110,90,46.7481245997765
0.09,0.09,0.09,0.09,110,110,110,46.7663631928916
0.09,0.09,0.09,0.11,90,90,90,48.6919656991271
0.09,0.09,0.09,0.11,90,90,110,48.7242764677579
0.09,0.09,0.09,0.11,90,110,90,48.7200902178569
0.09,0.09,0.09,0.11,90,110,110,48.75223198502
0.09,0.09,0.09,0.11,110,90,90,48.4897132069919
0.09,0.09,0.09,0.11,110,90,110,48.5217648308855
0.09,0.09,0.09,0.11,110,110,90,48.5172871462786
0.09,0.09,0.09,0.11,110,110,110,48.5491596877676
0.09,0.09,0.11,0.09,90,90,90,49.0878044643907
0.09,0.09,0.11,0.09,90,90,110,49.0797122520495
0.09,0.09,0.11,0.09,90,110,90,48.9627234598152
0.09,0.09,0.11,0.09,90,110,110,48.9502490631029
0.09,0.09,0.11,0.09,110,90,90,48.8188775284735
0.09,0.09,0.11,0.09,110,90,110,48.808758630316
0.09,0.09,0.11,0.09,110,110,90,48.6860909631269
0.09,0.09,0.11,0.09,110,110,110,48.6712986710337
0.09,0.09,0.11,0.11,90,90,90,51.7773876330239
0.09,0.09,0.11,0.11,90,90,110,51.7993637455145
0.09,0.09,0.11,0.11,90,110,90,51.7870841545028
0.09,0.09,0.11,0.11,90,110,110,51.8084933708469
0.09,0.09,0.11,0.11,110,90,90,51.560177652063
0.09,0.09,0.11,0.11,110,90,110,51.5817370582001
0.09,0.09,0.11,0.11,110,110,90,51.568661941179
0.09,0.09,0.11,0.11,110,110,110,51.5896286992959
0.09,0.11,0.09,0.09,90,90,90,48.7014899381988
0.09,0.11,0.09,0.09,90,90,110,48.6948947851968
0.09,0.11,0.09,0.09,90,110,90,48.5566073044016
0.09,0.11,0.09,0.09,90,110,110,48.5447745697978
0.09,0.11,0.09,0.09,110,90,90,48.4317610203566
0.09,0.11,0.09,0.09,110,90,110,48.4229075915242
0.09,0.11,0.09,0.09,110,110,90,48.2784968575525
0.09,0.11,0.09,0.09,110,110,110,48.2640617872517
0.09,0.11,0.09,0.11,90,90,90,52.0303840676673
0.09,0.11,0.09,0.11,90,90,110,52.0534636127133
0.09,0.11,0.09,0.11,90,110,90,52.0187418662199
0.09,0.11,0.09,0.11,90,110,110,52.0408755211617
0.09,0.11,0.09,0.11,110,90,90,51.815978031855
0.09,0.11,0.09,0.11,110,90,110,51.8384943354825
0.09,0.11,0.09,0.11,110,110,90,51.8025921474407
0.09,0.11,0.09,0.11,110,110,110,51.8241181590011
0.09,0.11,0.11,0.09,90,90,90,46.5237222398724
0.09,0.11,0.11,0.09,90,90,110,46.1938777562211
0.09,0.11,0.11,0.09,90,110,90,45.0661328986418
0.09,0.11,0.11,0.09,90,110,110,44.6358527608151
0.09,0.11,0.11,0.09,110,90,90,45.7261279740005
0.09,0.11,0.11,0.09,110,90,110,45.3565165376084
0.09,0.11,0.11,0.09,110,110,90,44.1026208818805
0.09,0.11,0.11,0.09,110,110,110,43.6185705214825
0.09,0.11,0.11,0.11,90,90,90,54.6402103277439
0.09,0.11,0.11,0.11,90,90,110,54.6411550383272
0.09,0.11,0.11,0.11,90,110,90,54.5526321266465
0.09,0.11,0.11,0.11,90,110,110,54.5504427339278
0.09,0.11,0.11,0.11,110,90,90,54.3866964476863
0.09,0.11,0.11,0.11,110,90,110,54.3861567569924
0.09,0.11,0.11,0.11,110,110,90,54.2934650787411
0.09,0.11,0.11,0.11,110,110,110,54.2895964183078
0.11,0.09,0.09,0.09,90,90,90,50.8757065217042
0.11,0.09,0.09,0.09,90,90,110,50.9143581156585
0.11,0.09,0.09,0.09,90,110,90,50.8902430193426
0.11,0.09,0.09,0.09,90,110,110,50.9286014698948
0.11,0.09,0.09,0.09,110,90,90,50.6832109114755
0.11,0.09,0.09,0.09,110,90,110,50.7216507947077
0.11,0.09,0.09,0.09,110,110,90,50.6971668578142
0.11,0.09,0.09,0.09,110,110,110,50.7353017933573
0.11,0.09,0.09,0.11,90,90,90,52.3949755344078
0.11,0.09,0.09,0.11,90,90,110,52.4302435047464
0.11,0.09,0.09,0.11,90,110,90,52.4290182536402
0.11,0.09,0.09,0.11,90,110,110,52.4642453055785
0.11,0.09,0.09,0.11,110,90,90,52.2069287601212
0.11,0.09,0.09,0.11,110,90,110,52.2420314855984
0.11,0.09,0.09,0.11,110,110,90,52.2407537794823
0.11,0.09,0.09,0.11,110,110,110,52.2758111359333
0.11,0.09,0.11,0.09,90,90,90,54.3965896954456
0.11,0.09,0.11,0.09,90,90,110,54.4180165530501
0.11,0.09,0.11,0.09,90,110,90,54.378157674024
0.11,0.09,0.11,0.09,90,110,110,54.3986594138761
0.11,0.09,0.11,0.09,110,90,90,54.1886458808111
0.11,0.09,0.11,0.09,110,90,110,54.2095122977739
0.11,0.09,0.11,0.09,110,110,90,54.1684900458645
0.11,0.09,0.11,0.09,110,110,110,54.1883879239998
0.11,0.09,0.11,0.11,90,90,90,55.3091755729646
0.11,0.09,0.11,0.11,90,90,110,55.3386054252182
0.11,0.09,0.11,0.11,90,110,90,55.3333919308069
0.11,0.09,0.11,0.11,90,110,110,55.3626807165025
0.11,0.09,0.11,0.11,110,90,90,55.1105940493861
0.11,0.09,0.11,0.11,110,90,110,55.1397950322716
