n_step,ijk,num_load,A1,A2,A3,A4,Tup,Tmid,Tdown,23x,23y,23z
    13,     1,     1,1.750000e-01,1.750000e-01,1.750000e-01,1.750000e-01,     0,     0,     0,-6.044812e+01,-3.012861e+01,9.632214e+01
    13,     1,     2,2.375000e-01,1.125000e-01,1.125000e-01,1.125000e-01,     0,     0,     0,-3.762760e+01,-1.329500e+01,8.216910e+01
    20,     1,     3,1.125000e-01,2.375000e-01,2.375000e-01,2.375000e-01,     0,     0,     0,-8.790936e+01,-5.115174e+01,1.035494e+02
    23,     1,     4,1.437500e-01,1.437500e-01,1.437500e-01,8.125000e-02,     0,     0,     0,-2.677540e+01,-2.250056e+01,7.162264e+01
    30,     2,     5,2.687500e-01,2.687500e-01,2.687500e-01,2.062500e-01,     0,     0,     0,-1.807200e+02,-1.082825e+02,-3.698541e+01
     9,     1,     6,2.062500e-01,8.125000e-02,8.125000e-02,1.437500e-01,     0,     0,     0,-3.238960e+01,-2.569834e+01,6.799465e+01
    17,     1,     7,8.125000e-02,2.062500e-01,2.062500e-01,2.687500e-01,     0,     0,     0,-8.406758e+01,-6.069413e+01,9.523146e+01
    25,     1,     8,9.687500e-02,1.281250e-01,1.281250e-01,2.218750e-01,     0,     0,     0,-4.980921e+01,-5.529235e+01,7.227369e+01
    19,     1,     9,2.218750e-01,2.531250e-01,2.531250e-01,9.687500e-02,     0,     0,     0,-9.396609e+00,1.463214e+01,1.980319e+01
     8,     1,    10,2.843750e-01,6.562500e-02,6.562500e-02,2.843750e-01,     0,     0,     0,-5.975807e+01,-3.634610e+01,8.212177e+01
    14,     1,    11,1.593750e-01,1.906250e-01,1.906250e-01,1.593750e-01,     0,     0,     0,-6.054307e+01,-2.957393e+01,9.771961e+01
    10,     1,    12,1.281250e-01,9.687500e-02,9.687500e-02,1.906250e-01,     0,     0,     0,-3.718204e+01,-4.538315e+01,6.301393e+01
    15,     1,    13,2.531250e-01,2.218750e-01,2.218750e-01,6.562500e-02,     0,     0,     0,-6.089604e+01,9.741276e+00,1.156185e+02
    13,     1,    14,1.906250e-01,1.593750e-01,1.593750e-01,2.531250e-01,     0,     0,     0,-7.159986e+01,-4.220172e+01,9.411916e+01
    30,     2,    15,6.562500e-02,2.843750e-01,2.843750e-01,1.281250e-01,     0,     0,     0,-7.531537e+01,-6.104406e+01,-1.383763e+02
    20,     1,    16,7.343750e-02,1.671875e-01,1.671875e-01,1.515625e-01,     0,     0,     0,-2.510212e+01,-7.329813e+01,9.038318e+00
    15,     1,    17,1.984375e-01,2.921875e-01,2.921875e-01,2.765625e-01,     0,     0,     0,-1.300736e+02,-3.122640e+01,1.124536e+02
     9,     1,    18,2.609375e-01,1.046875e-01,1.046875e-01,8.906250e-02,     0,     0,     0,-3.644402e+01,-5.634444e+00,8.259721e+01
    15,     1,    19,1.359375e-01,2.296875e-01,2.296875e-01,2.140625e-01,     0,     0,     0,-8.197308e+01,-4.292308e+01,1.042575e+02
     9,     1,    20,1.671875e-01,7.343750e-02,7.343750e-02,1.203125e-01,     0,     0,     0,-2.447682e+01,-2.650469e+01,5.708427e+01
    16,     1,    21,2.921875e-01,1.984375e-01,1.984375e-01,2.453125e-01,     0,     0,     0,-9.818445e+01,-1.142197e+01,1.147259e+02
    14,     1,    22,2.296875e-01,1.359375e-01,1.359375e-01,5.781250e-02,     0,     0,     0,-3.359659e+01,-3.770513e+00,8.527637e+01
    17,     1,    23,1.046875e-01,2.609375e-01,2.609375e-01,1.828125e-01,     0,     0,     0,-3.453272e+01,-7.570165e+01,-4.761939e+01
    13,     1,    24,8.906250e-02,8.906250e-02,8.906250e-02,2.609375e-01,     0,     0,     0,-4.918751e+01,-5.891568e+01,6.274753e+01
    30,     2,    25,2.140625e-01,2.140625e-01,2.140625e-01,1.359375e-01,     0,     0,     0,   NaN,   NaN,   NaN
    13,     1,    26,2.765625e-01,1.515625e-01,1.515625e-01,1.984375e-01,     0,     0,     0,-6.850249e+01,-1.401270e+01,1.034849e+02
    30,     2,    27,1.515625e-01,2.765625e-01,2.765625e-01,7.343750e-02,     0,     0,     0,2.472322e+01,2.467027e+02,1.114330e+02
    15,     1,    28,1.203125e-01,1.203125e-01,1.203125e-01,2.921875e-01,     0,     0,     0,-6.490390e+01,-6.005872e+01,7.688848e+01
    30,     2,    29,2.453125e-01,2.453125e-01,2.453125e-01,1.671875e-01,     0,     0,     0,-2.055132e+02,7.689317e+01,5.391865e+01
     8,     1,    30,1.828125e-01,5.781250e-02,5.781250e-02,2.296875e-01,     0,     0,     0,-3.933138e+01,-4.466467e+01,6.009566e+01
    30,     2,    31,5.781250e-02,1.828125e-01,1.828125e-01,1.046875e-01,     0,     0,     0,-4.272011e+01,-5.975437e+01,-1.088115e+02
    14,     1,    32,6.171875e-02,1.164063e-01,1.164063e-01,1.945312e-01,     0,     0,     0,-4.040021e+01,-5.436080e+01,6.329299e+01
    22,     1,    33,1.867187e-01,2.414062e-01,2.414062e-01,6.953125e-02,     0,     0,     0,-2.520329e+01,7.674293e+00,-8.628541e+01
     8,     1,    34,2.492187e-01,5.390625e-02,5.390625e-02,2.570312e-01,     0,     0,     0,-4.857384e+01,-3.930782e+01,7.158987e+01
    15,     1,    35,1.242188e-01,1.789062e-01,1.789062e-01,1.320312e-01,     0,     0,     0,-1.824818e+01,-5.140645e+01,1.984943e+01
    11,     1,    36,1.554687e-01,8.515625e-02,8.515625e-02,2.257812e-01,     0,     0,     0,-4.268057e+01,-4.772835e+01,6.504699e+01
    30,     2,    37,2.804687e-01,2.101562e-01,2.101562e-01,1.007813e-01,     0,     0,     0,-3.205788e+01,2.565918e+01,2.082033e+00
    11,     1,    38,2.179687e-01,1.476562e-01,1.476562e-01,2.882812e-01,     0,     0,     0,-7.784831e+01,-4.235400e+01,9.463270e+01
    19,     1,    39,9.296875e-02,2.726562e-01,2.726562e-01,1.632812e-01,     0,     0,     0,-4.491624e+01,-7.055119e+01,-8.588986e+01
    13,     1,    40,1.085938e-01,6.953125e-02,6.953125e-02,8.515625e-02,     0,     0,     0,-1.563420e+01,-2.518211e+01,4.357340e+01
    14,     1,    41,2.335937e-01,1.945312e-01,1.945312e-01,2.101562e-01,     0,     0,     0,-8.192848e+01,-1.999325e+01,1.096399e+02
    12,     1,    42,2.960937e-01,1.320312e-01,1.320312e-01,1.476562e-01,     0,     0,     0,-5.651303e+01,-4.863803e+00,9.878499e+01
    30,     2,    43,1.710937e-01,2.570312e-01,2.570312e-01,2.726562e-01,     0,     0,     0,-3.020464e+02,6.782951e+01,5.525822e+01
